DW_SIGN_CLASS_ADVISORYSPEEDLIMIT:0
DW_SIGN_CLASS_DIAMOND:1
DW_SIGN_CLASS_DONOTENTER:2
DW_SIGN_CLASS_ONEWAY:3
DW_SIGN_CLASS_REDRING:4
DW_SIGN_CLASS_EUBLUECIRCLE:5
DW_SIGN_CLASS_EUCIRCULARSHAPEPATTERN:6
DW_SIGN_CLASS_EUDIAMONDGENERAL:7
DW_SIGN_CLASS_EUREDRINGBLUECIRCLE:8
DW_SIGN_CLASS_SPEEDLIMIT10MPH:9
DW_SIGN_CLASS_SPEEDLIMIT15MPH:10
DW_SIGN_CLASS_SPEEDLIMIT20MPH:11
DW_SIGN_CLASS_SPEEDLIMIT25MPH:12
DW_SIGN_CLASS_SPEEDLIMIT30MPH:13
DW_SIGN_CLASS_SPEEDLIMIT35MPH:14
DW_SIGN_CLASS_SPEEDLIMIT40MPH:15
DW_SIGN_CLASS_SPEEDLIMIT45MPH:16
DW_SIGN_CLASS_SPEEDLIMIT50MPH:17
DW_SIGN_CLASS_SPEEDLIMIT55MPH:18
DW_SIGN_CLASS_SPEEDLIMIT60MPH:19
DW_SIGN_CLASS_SPEEDLIMIT65MPH:20
DW_SIGN_CLASS_SPEEDLIMIT70MPH:21
DW_SIGN_CLASS_SPEEDLIMIT75MPH:22
DW_SIGN_CLASS_SPEEDLIMIT80MPH:23
DW_SIGN_CLASS_SPEEDLIMIT10KMH:24
DW_SIGN_CLASS_SPEEDLIMIT15KMH:25
DW_SIGN_CLASS_SPEEDLIMIT20KMH:26
DW_SIGN_CLASS_SPEEDLIMIT30KMH:27
DW_SIGN_CLASS_SPEEDLIMIT40KMH:28
DW_SIGN_CLASS_SPEEDLIMIT50KMH:29
DW_SIGN_CLASS_SPEEDLIMIT60KMH:30
DW_SIGN_CLASS_SPEEDLIMIT70KMH:31
DW_SIGN_CLASS_SPEEDLIMIT80KMH:32
DW_SIGN_CLASS_SPEEDLIMIT90KMH:33
DW_SIGN_CLASS_SPEEDLIMIT100KMH:34
DW_SIGN_CLASS_SPEEDLIMIT110KMH:35
DW_SIGN_CLASS_SPEEDLIMIT120KMH:36
DW_SIGN_CLASS_SPEEDLIMIT130KMH:37
DW_SIGN_CLASS_EUVARMESGSPEEDLIMITGENERAL:38
DW_SIGN_CLASS_EUVARMESGWARNINGGENERAL:39
DW_SIGN_CLASS_EUVARIABLEMESSAGESIGN:40
DW_SIGN_CLASS_REDWARNINGTRIANGLE:41
DW_SIGN_CLASS_RESTRICTIONGENERAL:42
DW_SIGN_CLASS_SPEEDLIMITRESTRICTION:43
DW_SIGN_CLASS_STOP:44
DW_SIGN_CLASS_TURNSPROHIBITED:45
DW_SIGN_CLASS_YIELD:46
DW_SIGN_CLASS_UNSUPPORTED:47
