DW_OBJECT_CLASS_CAR:0
DW_OBJECT_CLASS_TRAFFIC_SIGN:1
DW_OBJECT_CLASS_BICYCLE:2
DW_OBJECT_CLASS_PEDESTRIAN:3
DW_OBJECT_CLASS_TRAFFIC_LIGHT:4
DW_OBJECT_CLASS_CURB:5
DW_OBJECT_CLASS_OTHER:6
DW_OBJECT_CLASS_UNKNOWN:7
